--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
E/fusion_analysis( 6175): FPS = 23
E/fusion_analysis( 6175): FPS = 26
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 22
E/fusion_analysis( 6175): FPS = 24
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 15
E/fusion_analysis( 6175): FPS = 26
E/fusion_analysis( 6175): FPS = 23
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 26
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 30
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 22
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 24
E/fusion_analysis( 6175): FPS = 24
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 22
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 23
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 24
E/fusion_analysis( 6175): FPS = 26
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 22
E/fusion_analysis( 6175): FPS = 23
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 22
E/fusion_analysis( 6175): FPS = 26
E/fusion_analysis( 6175): FPS = 30
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 18
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 30
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 22
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 23
E/fusion_analysis( 6175): FPS = 19
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 30
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 30
E/fusion_analysis( 6175): FPS = 22
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 26
E/fusion_analysis( 6175): FPS = 23
E/fusion_analysis( 6175): FPS = 26
E/fusion_analysis( 6175): FPS = 24
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 23
E/fusion_analysis( 6175): FPS = 23
E/fusion_analysis( 6175): FPS = 24
E/fusion_analysis( 6175): FPS = 17
E/fusion_analysis( 6175): FPS = 22
E/fusion_analysis( 6175): FPS = 22
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 22
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 26
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 24
E/fusion_analysis( 6175): FPS = 19
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 19
E/fusion_analysis( 6175): FPS = 30
E/fusion_analysis( 6175): FPS = 24
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 19
E/fusion_analysis( 6175): FPS = 23
E/fusion_analysis( 6175): FPS = 16
E/fusion_analysis( 6175): FPS = 22
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 26
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 30
E/fusion_analysis( 6175): FPS = 30
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 23
E/fusion_analysis( 6175): FPS = 26
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 23
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 26
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 19
E/fusion_analysis( 6175): FPS = 23
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 24
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 30
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 22
E/fusion_analysis( 6175): FPS = 26
E/fusion_analysis( 6175): FPS = 26
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 19
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 23
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 17
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 23
E/fusion_analysis( 6175): FPS = 18
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 23
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 23
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 30
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 23
E/fusion_analysis( 6175): FPS = 26
E/fusion_analysis( 6175): FPS = 23
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 23
E/fusion_analysis( 6175): FPS = 24
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 30
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 19
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 22
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 22
E/fusion_analysis( 6175): FPS = 17
E/fusion_analysis( 6175): FPS = 16
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 26
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 19
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 18
E/fusion_analysis( 6175): FPS = 22
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 15
E/fusion_analysis( 6175): FPS = 18
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 19
E/fusion_analysis( 6175): FPS = 26
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 22
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 19
E/fusion_analysis( 6175): FPS = 30
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 22
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 24
E/fusion_analysis( 6175): FPS = 22
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 24
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 26
E/fusion_analysis( 6175): FPS = 24
E/fusion_analysis( 6175): FPS = 24
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 18
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 26
E/fusion_analysis( 6175): FPS = 23
E/fusion_analysis( 6175): FPS = 30
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 17
E/fusion_analysis( 6175): FPS = 19
E/fusion_analysis( 6175): FPS = 19
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 24
E/fusion_analysis( 6175): FPS = 22
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 30
E/fusion_analysis( 6175): FPS = 30
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 17
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 18
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 30
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 16
E/fusion_analysis( 6175): FPS = 18
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 30
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 23
E/fusion_analysis( 6175): FPS = 24
E/fusion_analysis( 6175): FPS = 24
E/fusion_analysis( 6175): FPS = 19
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 19
E/fusion_analysis( 6175): FPS = 24
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 25
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 24
E/fusion_analysis( 6175): FPS = 22
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 30
E/fusion_analysis( 6175): FPS = 20
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 18
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 28
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 19
E/fusion_analysis( 6175): FPS = 26
E/fusion_analysis( 6175): FPS = 19
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 17
E/fusion_analysis( 6175): FPS = 23
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 29
E/fusion_analysis( 6175): FPS = 26
E/fusion_analysis( 6175): FPS = 17
E/fusion_analysis( 6175): FPS = 21
E/fusion_analysis( 6175): FPS = 27
E/fusion_analysis( 6175): FPS = 24
